P,N,E,Z,D (km post
163,773750.2787,615640.5248,0,297.5
164,775692.5788,612073.6166,0,301.7
165,778116.6535,608028.8926,0,307.3
166,579754.4104,654150.1808,0,20.3
167,658283.6299,633524.4362,0,134.6
168,659178.1146,634532.7945,0,136
169,663855.772,636569.1683,0,141.5
170,665407.5235,636823.5724,0,143.1
171,669826.6105,636449.8532,0,148
172,670644.3736,635915.7298,0,149
173,670720.0589,635850.4743,0,149.1
174,672681.6852,634800.5497,0,151.4
175,674135.5897,636160.3176,0,153.6
176,675554.2415,636780.2839,0,155.2
177,675950.1362,636837.4452,0,155.6
178,677906.0295,638516.8779,0,158.3
179,679034.7904,640398.112,0,160.7
180,679037.8183,640798.0219,0,161.1
181,687547.0897,645248.9974,0,171.8
182,690634.8816,647548.3431,0,175.7
183,690924.4437,647607.5896,0,176
184,702399.9677,651248.267,0,188.8
185,704134.1576,651869.9679,0,190.8
186,704216.3134,651926.7928,0,190.9
187,706224.569,651240.2509,0,193.2
188,707684.6693,650942.6212,0,194.7
189,709552.8613,650724.4221,0,196.6
190,710756.8467,650815.5146,0,197.9
191,711607.1733,650837.5672,0,198.8
192,714596.6842,650713.5058,0,202.1
193,716108.2196,650242.4081,0,203.7
194,716639.9486,649990.9462,0,204.3
195,718989.8183,648879.4839,0,206.9
196,718630.4801,649055.1997,0,206.5
197,718540.6455,649099.1287,0,206.4
198,719540.7971,648647.4261,0,207.5
199,719638.577,648631.0157,0,207.5
200,720907.5383,647928.1263,0,209.2
201,720971.6091,647881.0998,0,209.3
202,721057.2059,647829.3971,0,209.4
203,721147.6833,647786.8762,0,209.5
204,721236.026,647740.0496,0,209.6
205,721324.6873,647693.8239,0,209.7
206,721414.2452,647649.3336,0,209.8
207,722676.5413,647054.63,0,211.2
208,722775.9929,647047.9468,0,211.3
209,723175.8905,647040.5121,0,211.7
210,723275.7161,647044.1317,0,211.8
211,726829.8871,647615.4686,0,215.4
212,727027.2683,647647.7279,0,215.6
213,727126.2008,647662.8986,0,215.7
214,727422.0307,647712.2464,0,216
215,728113.3951,647821.7068,0,216.7
216,728212.0909,647837.8046,0,216.8
217,729593.8321,648063.1738,0,218.2
218,730185.9435,648160.1466,0,218.6
219,730284.6001,648176.4826,0,218.9
220,730679.2335,648241.7859,0,219.3
221,731159.5849,648371.3132,0,219.8
222,731336.8466,648463.7426,0,220
223,731774.8054,648704.8282,0,220.5
224,731950.0505,648801.2086,0,220.7
225,732125.2955,648897.589,0,220.9
226,732388.1631,649042.1596,0,221.2
227,733653.5189,649616.968,0,222.6
228,735312.5139,649987.2698,0,224.3
229,735019.9314,649921.0158,0,224
230,736294.9882,650027.3123,0,225.3
231,736490.3428,649983.007,0,225.5
232,736587.5029,649959.3444,0,225.6
233,737631.8191,650178.0539,0,226.7
234,737813.0792,650245.6411,0,226.9
235,737905.8208,650283.045,0,227
236,738375.2556,650452.0152,0,227.5
237,738474.2185,650464.282,0,227.6
238,738773.9102,650477.8802,0,227.9
239,738973.7046,650486.9456,0,228.1
240,739073.6019,650491.4783,0,228.2
241,739173.5671,650496.0141,0,228.3
242,739373.4295,650505.0826,0,228.5
243,740373.5634,651040.6095,0,229.7
244,740719.8021,652236.5415,0,231.5
245,740801.3165,652178.6155,0,231.6
246,741124.8539,651945.1663,0,232
247,741407.9511,651846.5573,0,232.3
248,741599.0877,651787.6868,0,232.5
249,742066.6652,651702.5847,0,233
250,742232.6212,651626.5062,0,233.2
